City,Number of Registrations
Millerton,2
Millheim,2
Millmont,1
Mills,3
Millvale,2
Millville,3
Milton,3
Mineral Point,2
Mohrsville,4
Monaca,8
Monessen,9
Monongahela,5
Monroe Township,2
Montgomery,9
Montgomeryville,4
Montoursville,15
Montrose,8
Moon,1
Moon Township,55
Moon Twp,35
Moosic,9
Morrisdale,7
Morrisville,17
Moscow,3
Mount Bethel,1
Mount Carmel,1
Mount Holly Springs,3
Mount Jewett,2
Mount Joy,20
Mount Pleasant,1
Mount Pocono,2
Mount Union,3
Mount Washington,1
Mount Wolf,2
Mt Morris,1
Mt Pleasant,2
Mt Pleasant Mills,3
Mt. Lebanon,1
Mt. Pleasant,1
Mt.joy,1
Muncy,4
Munhall,3
Munson,1
Murrysville,6
Myerstown,14
N CAMBRIA,1
N Huntingdon,1
NATRONA HEIGHTS,8
NEW  BRIGHTON,1
NORRISTOWN,25
NORTH APOLLO,7
Nanticoke,3
Nanty Glo,2
Narberth,4
Narvon,2
Nazareth,25
Nescopeck,1
Nesquehoning,1
New Alexandria,1
New Berlin,2
New Bethlehem,1
New Bloomfield,3
New Brighton,10
New Britain,2
New Castle,34
New Cumberland,12
New Florence,1
New Freedom,7
New Galilee,4
New Hallind Pa,1
New Holland,16
New Hope,28
New Kensington,28
New Milford,6
New Oxford,16
New Providence,2
New Ringgold,4
New Stanton,1
New Tripoli,1
New Wilmington,3
New eagle,1
Newfoundland,2
Newmanstown,4
Newport,1
Newtown,19
Newtown Square,16
Newville,5
Nicholson,1
Nicktown,2
Normalville,2
Norristown,46
North East,3
North Huntingdon,13
North Versailles,7
North Wales,27
Northampton,13
Northern Cambria,1
Northumberland,9
Norwood,6
Nottingham,3
Noxen,2
Oakdale,5
Oakford,1
Oakmont,2
Oil City,8
Old Forge,3
Oley,3
Olyphant,4
Orbisonia,2
Orefield,10
Oreland,7
Orrstown,1
Orrtanna,3
Orwigsburg,8
Osceola Mills,1
Osterburg,2
Ottsville,3
Oxford,14
PHILA,4
PHILADELPHIA,19
Pa Furnace,1
Palm,1
Palmyra,30
Paoli,10
Paradise,11
Parkesburg,6
Parkhill,1
Patton,2
Peach Bottom,2
Peckville,8
Pen Argyl,3
Penfield,2
Penn Hills,1
Penn Valley,3
Penndel,1
Penns Park,1
Pennsdale,1
Pennsylvania Department Of,4
Pennsylvania Furnace,1
Pequea,6
Perkasie,31
Perkiomenville,5
Perryopolis,7
Petersburg,1
Phila,6
Philadelphia,868
Philipsburg,8
Phoenixville,71
Pine Grove,7
Pipersville,13
Pittsburgh,791
Pittston,7
Plains,4
Pleasant Gap,1
Pleasant Mount,4
Plum,1
Plymouth Meeting,10
Pocono Lake,1
Pocono Summit,1
Port Allegany,1
Port Carbon,3
Port Matilda,10
Port Trevorton,1
Port griffith,2
Portage,7
Portersville,3
Pottstown,66
Pottsville,11
Presto,2
Prospect,2
Prospect Park,1
Prosperity,1
Pulaski,1
Punxsutawney,15
Quakertown,30
Quarryville,3
RED HILL,1
RUSSELLTON,1
Radnor,3
Ramey,1
Reading,81
Rector,4
Red Lion,23
Reedsville,1
Reinholds,9
Renfrew,8
Reynoldsville,5
Reynoldsville`,2
Richboro,11
Richfield,3
Richland,2
Ridgway,3
Ridley Park,5
Riegelsville,7
Riverside,1
Rixford,1
Roaring Brook Twp,2
Roaring Spring,7
Rochester,8
Rockledge,1
Rockwood,1
Rome,2
Ronks,20
Roseto,2
Roslyn,5
Rostraver Township,4
Rostraver Twp,2
Royersford,10
Ruffs Dale,1
Rural Valley,1
Rushland,1
Russell,1
Rutledge,1
SANATOGA,1
SEVEN VALLEYS,2
SEWICKLEY,19
SINKING SPRING,14
SOUTH WILLIAMSPORT,5
SPRING BROOK TOWNSHIP,2
SPRING CREEK,4
STATE COLLEGE,90
Saegertown,6
Saint Clair,1
Saint Marys,4
Saint Thomas,1
Saltsburg,6
Sandy Lake,6
Sarver,2
Saxonburg,2
Saylorsburg,3
Sayre,9
Schnecksville,9
Schuylkill Haven,3
Schwenksville,11
Scotland,1
Scotrun,1
Scott Township,1
Scottdale,3
Scranton,33
Selinsgrove,8
Sellersville,12
Seven Fields,4
Shamokin,1
Shamokin Dam,1
Shanksville,1
Sharon,2
Sharon Hill,6
Sharpsville,1
Shavertown,5
Shawnee on Delaware,3
Shelocta,3
Shenandoah,1
Shermans Dale,6
Shickshinny,3
Shippensburg,15
Shippenville,2
Shiremanstown,2
Shoemakersville,2
Shohola,2
Shrewsbury,5
Shunk,1
Sidman,2
Skippack,3
Slatington,87
Slippery Rock,5
Smithfield,1
Smithton,4
Smock,2
Somerset,15
Souderton,11
South Abington Township,3
South Park,9
South Waverly,1
Southampton,17
Spring City,10
Spring Grove,11
Spring Mills,2
Springboro,1
Springdale,1
Springfield,13
St Davids,1
Stahlstown,1
State College,60
Steelton,7
Stevens,13
Stevensville,1
Stewartstown,14
Stillwater,1
Stockdale,1
Stowe,1
Strabane,1
Strasburg,6
Strattanville,1
Strongstown,2
Stroudsburg,17
Sugarloaf,3
Summerville,1
Sunbury,4
Swarthmore,10
Sweet Valley,4
Swissvale,2
Swoyersville,2
TROUT RUN,3
TURTLE CREEK,3
Tafton,4
Tamaqua,4
Tannersville,1
Tarentum,2
Tatamy,4
Taylor,3
Telford,22
Temple,2
Thomasville,1
Thornhurst,1
Thornton,3
Throop,2
Tidioute,1
Timblin,2
Tioga,2
Tionesta,1
Tobyhanna,8
Towanda,8
Tower City,1
Trafford,7
Trainer,5
Transfer,2
Trappe,3
Trevorton,3
Trevose,1
Trucksville,6
Tunkhannock,20
Turbotville,4
Tyler Hill,1
Tyrone,1
Ulster,3
Union Dale,1
Uniontown,17
Unionville,1
Unityville,1
University Park,52
Upper Black Eddy,4
Upper Chichester,18
Upper Darby,9
Upper St Clair,2
Valencia,9
Valley View,1
Vandergrift,1
Venetia,6
Verona,11
Villanova,8
W Cnshohocken,2
W Middlesex,1
WEST CHESTER,66
WEST MIFFLIN,16
WYNNEWOOD,7
WYSOX,2
Wall,1
Wallingford,18
Walnutport,6
Warminster,31
Warren,5
Warrendale,10
Warrington,23
Warrior Run,1
Warwick,3
Washington,43
Washington Boro,1
Washington Crossing,2
Waterford,3
Watsontown,3
Wayne,13
Waynesboro,28
Waynesburg,5
Weatherly,5
Wellsboro,11
Wellsville,4
Wernersville,11
Wescosville,2
West Chester,57
West Finley,1
West Grove,25
West Hazleton,1
West Lawn,8
West Leechburg,1
West Milton,1
West Newton,5
West Pittsburg,1
West Pittston,7
West Reading,4
West Sunbury,1
West Wyoming,1
Westfield,3
Westmoreland City,2
Wexford,19
White Haven,4
White Oak,5
Whitehall,9
Wilkes Barre,26
Wilkes-Barre,8
Wilkinsburg,2
Williamsburg,2
Williamsport,44
Williamstown,5
Willow Grove,16
Willow Street,5
Wind Gap,2
Windber,6
Windsor,1
Womelsdorf,5
Wood,1
Woodbury,1
Woodlyn,2
Woodward,1
Wormleysburg,6
Worthington,4
Wrightsville,1
Wyalusing,2
Wyncote,7
Wyndmoor,8
Wyoming,3
Wyomissing,6
Yardley,26
Yatesville,2
Yeadon,2
York,142
York Haven,3
York Springs,2
Youngsville,2
Youngwood,2
Yukon,1
ZIEGLERVILLE,1
Zelienople,11
"Zelienople,",1
Zionsville,3
aston,9
brackenridge,1
bradfordwoods,2
clifton heights,5
dunmore,3
east norriton,8
gardners,1
hannastown,1
hastings,1
hellam,3
mechanicsburg,66
mohnton,6
palmerton,4
pennsburg,23
philadelphia,29
pittsburgh,26
seneca,2
susquehanna,3
"york,",1
