Country,State/Providence/Region,City,Postal Code,Number of Registrations,
Brazil,São Paulo,Indaiatuba,13342-263,1,
Brazil,Sao Paulo,Indaiatuba,13348463,1,
Brazil,Sao Paulo,Mogi das Cruzes,08790530,3,
Brazil,Sao Paulo,Ribeirao Preto,14021590,1,
Brazil,Sao Paulo,Santos,11055000,1,
Brazil,Sao paulo,Sao Paulo,01137010,1,
Brazil,São Paulo,São Paulo,04640-020,1,
Brazil,Sao Paulo,Sao Paulo,04642-000,1,
Brazil,São Paulo,São Paulo,04738-001,1,
Brazil,São Paulo,São Paulo,04777120,1,
Brazil,SP,Campinas,13023020,1,
Brazil,SP,Embare,11040-150,2,
Brazil,SP,Mogi das Cruzes,088260000,1,
Brazil,SP,Osasco,06020-080,1,
Brazil,SP,São Paulo,01228200,1,
Brazil,SP,SAO PAULO,01238-000,1,
Brazil,SP,São Paulo,01518-010,1,
Brazil,SP,Sao Paulo,03022030,1,
Brazil,SP,São Paulo,03112-090,1,
Brazil,SP,Sao Paulo,04609000,1,
Brazil,SP,São Paulo,04739-001,1,
Brazil,SP,Sao Paulo,05712070,1,
Brazil,SP,Sao Paulo,N/A,1,
Brazil,Sp,Vila Albertina,02730-000,1,
Brunei,,Bandar Seri Begawan,BE1518,1,
Brunei,Brunei muara,Bander seri Begawan,Bg1121,1,
Bulgaria,,Ruse,7005,1,
Bulgaria,,Varna,9006,1,
Bulgaria,Bulgaria,Sofia,1750,1,
Bulgaria,Sofia,Ovcha Kupel,1614,1,
Cambodia,,Phnom Penh,12000,1,
Cambodia,,Phnom Penh,12401,1,
Canada,,Abbotsford,V2S 7H6,1,
Canada,,"Abbotsford, BC",V4X 2C5,1,
Canada,,"Brampton, ON",L6S 1H5,1,
Canada,,"Burlington, ON",L7M 5C1,1,
Canada,,"Comox, BC",V9M 2N1,1,
Canada,,Courtenay,N/A,1,
Canada,,"Gatineau, QC",J9J 2Y3,1,
Canada,,"Halifax, NS",B3S 0J3,1,
Canada,,"Innisfil, ON",L9S 2E5,1,
Canada,,"Laval, QC",H7A 4K1,1,
Canada,,"Longueuil, QC",J4K 3A5,1,
Canada,,"Markham, ON",L3S 2C9,1,
Canada,,Mississauga,L4Z 4E4,1,
Canada,,Mississauga,L5N2Y6,1,
Canada,,"Montreal, QC",H2J 3R5,1,
Canada,,"Montreal, QC",H2S 2H1,1,
Canada,,"Montreal, QC",H3C 0G3,1,
Canada,,"Montreal, QC",H3W 0B2,1,
Canada,,"Montreal, QC",H3W 1L2,1,
Canada,,"Montreal, QC",H3Z 2P8,1,
Canada,,"Montreal, QC",H4A 1Y1,1,
Canada,,Ottawa,K1Z6L2,3,
Canada,,"Ottawa, ON",K2C 0R2,1,
Canada,,"Quebec, QC",G1P 1A4,1,
Canada,,"Quebec, QC",G2B 4R9,1,
Canada,,"Quebec, QC",G3G 1J4,1,
Canada,,"Repentigny, QC",J6A 0A4,1,
Canada,,"Repentigny, QC",J6A 5R7,1,
Canada,,Salaberry-de-Valleyfield,J6T-0B7,1,
Canada,,"Salaberry-De-Valleyfield, QC",J6T 3Z2,1,
Canada,,"Salaberry-De-Valleyfield, QC",J6T 6G2,1,
Canada,,Saskatoon,S0K0A1,1,
Canada,,"Surrey, BC",V4N 1R1,1,
Canada,,"Surrey, BC",V4N 6M4,1,
Canada,,"Toronto, ON",M1P 5A9,1,
Canada,,"Toronto, ON",M2M 4A4,1,
Canada,,"Toronto, ON",M4Y 0E9,1,
Canada,,"Toronto, ON",M5V 0N9,1,
Canada,,"Toronto, ON",M5V 2W9,1,
Canada,,"Toronto, ON",M6C 3A6,1,
Canada,,"Toronto, ON",M6G 3N6,1,
Canada,,"Toronto, ON",M8Y 3A5,1,
Canada,,"Vancouver, BC",V6C 0B3,2,
Canada,,"West Kelowna, BC",V4T 2J9,1,
Canada,,"Winnipeg, MB",R2C 2J1,1,
Canada,,"Winnipeg, MB",R2M 2A6,2,
Canada,AB,Bashaw,T0B 0H0,1,
Canada,AB,Blackfalds,T4M 0K6,1,
Canada,AB,Calgary,T2C 3E1,1,
Canada,AB,Calgary,T2C 3E5,1,
Canada,ab,calgary,t2c3w8,1,
Canada,AB,Calgary,T2E 1P3,1,
Canada,AB,Calgary,T2H 0T2,1,
Canada,AB,Calgary,T2H2A6,1,
Canada,AB,Calgary,T2J 3C2,1,
Canada,AB,Calgary,T2J 4E3,1,
Canada,AB,Calgary,T2K 3V4,1,
Canada,AB,Calgary,T2L1L6,1,
Canada,AB,Calgary,T2R 0P4,1,
Canada,AB,Calgary,T2R 0R7,1,
Canada,AB,Calgary,T2S 2B5,1,
Canada,AB,Calgary,T2X 0H8,3,
Canada,AB,CALGARY,T2X 2L7,1,
Canada,AB,Calgary,T2Y 3B6,1,
Canada,AB,Calgary,T2Y 3H5,1,
Canada,AB,Calgary,T2Y 3T5,1,
Canada,AB,Calgary,T2Z 0B4,1,
Canada,AB,Calgary,T2Z 2B9,1,
Canada,AB,Calgary,T2Z 3J9,1,
Canada,AB,Calgary,T3B 6G7,1,
Canada,AB,Calgary,T3G 4R9,1,
Canada,AB,Calgary,T3H2N8,1,
Canada,AB,Calgary,T3L 0C9,2,
Canada,AB,Calgary,T3L 2S6,1,
Canada,AB,Calgary,T3M 0A5,3,
Canada,AB,Calgary,T3M 1B9,1,
Canada,AB,Canmore,T1W 2Y1,2,
Canada,AB,Cochrane,T4C 0X9,2,
Canada,AB,Edmonton,T5A 5C7,1,
Canada,AB,Edmonton,T5A0A1,1,
Canada,AB,Edmonton,T5G 2N4,1,
Canada,AB,Edmonton,T5J 5G3,1,
Canada,AB,Edmonton,T5L 1B6,1,
Canada,AB,Edmonton,T6E 1G6,1,
Canada,AB,Edmonton,T6G 2A4,2,
Canada,AB,Edmonton,T6J 2J6,1,
Canada,AB,Edmonton,T6J 3T1,1,
Canada,AB,Edmonton,T6R 0L3,2,
Canada,AB,Edmonton,T6T 0V9,1,
Canada,AB,Edmonton,T6W,1,
Canada,AB,Edmonton,T6W 1E5,1,
Canada,AB,Edmonton,T6W 2S3,1,
Canada,AB,Edmonton,t6x1c3,1,
Canada,AB,Foothills,T1S4E8,1,
Canada,AB,Fort Mcmurray,T9K 1A3,1,
Canada,AB,Leduc,T9E 0H6,1,
Canada,AB,Leduc,T9E 0P6,1,
Canada,AB,Lethbridge,T1K 1A5,1,
Canada,AB,Lethbridge,T1K 2Y3,1,
Canada,AB,Medicine Hat,T1A 7M7,2,
Canada,AB,Morinville,T8R 0B2,1,
Canada,AB,Olds,T4H 0E9,1,
Canada,Ab,Olds,T4H 1C5,1,
Canada,AB,Raymond,T0K 2S0,1,
Canada,AB,Sherwood Park,T8A 5H4,1,
Canada,AB,Spruce Grove,T7X 3N3,1,
Canada,AB,Spruce Grove,T7X 3S3,1,
Canada,AB,Spruce Grove,T7Y 1B1,2,
Canada,AB,Stony Plain,T7Z 2L1,1,
Canada,AB - Alberta,Three Hills,T0M 2A0,1,
Canada,alberta,calgary,t2a7y7,1,
Canada,Alberta,Calgary,T2C 2C6,1,
Canada,Alberta,Calgary,T2K5A7,3,
Canada,Alberta,Calgary,T2N 1T7,1,
Canada,Alberta,Calgary,T2R0M2,1,
Canada,Alberta,Calgary,T2Z 2L5,1,
Canada,Alberta,Calgary,T3P0A7,1,
Canada,Alberta,Edmonton,T5P 2M6,2,
Canada,Alberta,Edmonton,T5X 3S7,4,
Canada,Alberta,Edmonton,T5X0C1,1,
Canada,Alberta,Edmonton,T6R 0T6,3,
Canada,Alberta,Fort Mcmurray,T9h3s5,2,
Canada,Alberta,Fort McMurray,T9K 1M6,1,
Canada,Alberta,Grande Prairie,T8W2G4,1,
Canada,Alberta,Grande Prairie,T8X0M4,1,
Canada,Alberta,Red Deer,T4R 2V2,1,
Canada,Alberta,St. Albert,T8N 5R2,1,
Canada,Alberta,Whitecourt,T7S2A1,1,
Canada,B.C.,Victoria,V9E-2B8,1,
Canada,BC,Abbotsford,V2S 7H4,1,
Canada,BC,Burnaby,V3N 1K8,1,
Canada,BC,Burnaby,V3N4Y9,1,
Canada,BC,Burnaby,V5A 3C2,15,
Canada,BC,Burnaby,V5B 3A6,4,
Canada,BC,Burnaby,V5c 0k2,1,
Canada,BC,Burnaby,V5C 0K6,1,
Canada,BC,Burnaby,V5C 0L5,1,
Canada,BC,Burnaby,V5H 0K2,1,
Canada,BC,Burnaby,V5H 3M6,3,
Canada,Bc,Campbell River,V9H 1S1,1,
Canada,BC,Chilliwack,V2R 5J8,1,
Canada,BC,Chilliwack,V4Z 1B5,1,
Canada,BC,Coquitlam,V3B 0R3,1,
Canada,BC,Coquitlam,V3B4G3,2,
Canada,BC,Coquitlam,V3E 2E5,1,
Canada,BC,Coquitlam,V3E 2Y8,2,
Canada,BC,Coquitlam,V3E 3L1,1,
Canada,BC,Coquitlam,V3J 0G3,4,
Canada,BC,Delta,V4L 2G8,1,
Canada,BC,Garibaldi Highlands,V0N 1H0,15,
Canada,BC,Gibsons,V0N 1V7,1,
Canada,BC,Kaleden,V0H 1K0,1,
Canada,BC,Kamloops,V2C 4T6,1,
Canada,BC,Kelowna,V1W 5K4,2,
Canada,BC,Kelowna,V1Y8E3,1,
Canada,BC,LADYSMITH,V9G1G6,1,
Canada,BC,Langley,V1M 2K9,1,
Canada,BC,Langley,v2y0e1,1,
Canada,BC,Langley,V2Z 1Z1,1,
Canada,BC,Langley,V2Z 2K4,2,
Canada,BC,LANGLEY,V3A 1C9,1,
Canada,BC,Langley,V3A 4B4,1,
Canada,BC,Lions Bay,V0N 2E0,1,
Canada,BC,Maple Ridge,V2W 1H5,1,
Canada,BC,Maple Ridge,V4R 0E5,1,
Canada,BC,"MAPLE RIDGE,",V2X 2T7,1,
Canada,BC,Nanaimo,V9R0B8,1,
Canada,BC,Nanaimo,V9T 0K8,1,
Canada,BC,Nanaimo,V9T 6R6,1,
Canada,BC,Nanoose Bay,V9P 9E8,1,
Canada,BC,North Vancouver,V7G1G7,1,
Canada,BC,Pemberton,V0N 2L1,1,
Canada,BC,Pender Island,V0N 2M2,1,
Canada,BC,Penticton,V2A 7L5,1,
Canada,BC,Pitt Meadows,V3Y 2R3,1,
Canada,BC,Port Alberni,V9Y 3J2,2,
Canada,BC,Port Alberni,V9Y 7L1,1,
Canada,BC,Port Coquitlam,V3C 6R4,1,
Canada,BC,Richmond,V6X 0N6,1,
Canada,BC,Richmond,V7C 2N8,1,
Canada,BC,Richmond,V7C 4G4,1,
Canada,BC,Richmond,V7E 2W9,1,
Canada,BC,Richmond,V7E 6N7,1,
Canada,BC,Rosedale,V0X 1X1,2,
Canada,BC,Royston,V0R2V0,1,
Canada,BC,Salmon Arm,V1E 1L5,2,
Canada,BC,Salt Spring Island,V8K 1R7,1,
Canada,BC,Sidney,V8L 5W5,5,
Canada,BC,Sidney,V8L 5Y9,1,
Canada,BC,Squamish,V8B0R9,1,
Canada,BC,Surrey,V3R 6Y1,1,
Canada,BC,Surrey,V3S 6L7,1,
Canada,BC,Surrey,V3V1V8,1,
Canada,BC,Surrey,V3W 1A3,1,
Canada,BC,Surrey,V3Z 6T5,1,
Canada,BC,Surrey,V4A 9V3,1,
Canada,BC,Surrey,V4A7R7,2,
Canada,BC,Surrey,V4N 4C4,1,
Canada,BC,Surrey,V4N 4M9,1,
Canada,BC,Surrey,V4P 2B5,1,
Canada,BC,Tsawwassen,V4M 0B8,1,
Canada,BC,Vancouver,V5L 4H5,1,
Canada,BC,Vancouver,V5P 4T9,4,
Canada,BC,Vancouver,V5R5G8,1,
Canada,BC,Vancouver,V5T 1T7,2,
Canada,BC,Vancouver,V5T2H1,1,
Canada,BC,Vancouver,V5W 1J6,1,
Canada,BC,Vancouver,V5X 1A2,2,
Canada,BC,Vancouver,V6E 1K5,3,
Canada,BC,Vancouver,V6E4R2,1,
Canada,BC,Vancouver,V6E4R8,1,
Canada,BC,Vancouver,V6G 1N4,1,
Canada,Bc,Vancouver,V6g3j3,1,
Canada,BC,Vancouver,V6H 1N9,1,
Canada,BC,Vancouver,V6J 0E5,1,
Canada,BC,Vancouver,V6J5L1,3,
Canada,BC,Vancouver,V6N 3C9,1,
Canada,BC,Vancouver,V6N 3X7,1,
Canada,BC,Vancouver,V6R 1P2,1,
Canada,BC,Vancouver,V6S 1W9,1,
Canada,BC,Vancouver,V6T 1Z1,1,
Canada,BC,Vancouver,V6T1Z4,1,
Canada,BC,Vancouver,V6Z 0C8,1,
Canada,BC,Vanvouver,V6G1W2,1,
Canada,BC,Vernon,V1H 2L1,1,
Canada,BC,Victoria,V8P 5C2,1,
Canada,BC,Victoria,V8Y 1C9,1,
Canada,Bc,Victoria,V9B5W5,1,
Canada,BC,Ymir,V0G2K0,1,
Canada,British Columbia,Burnaby,V5E 4N7,1,
Canada,BRITISH COLUMBIA,Comox,V9M 1A4,1,
Canada,British Columbia,Comox,V9M3C4,1,
Canada,British Columbia,Coquitlam,V3E 0A5,1,
Canada,British Columbia,Delta,N/A,1,
Canada,British Columbia,Esquimalt,V9A6N8,1,
Canada,British Columbia,Kamloops,V1S 1V3,1,
Canada,British Columbia,Kelowna,v1w3z6,1,
Canada,British Columbia,Langley,V3A 8H1,1,
Canada,British Columbia,Mission,V4s1a9,1,
Canada,British Columbia,Nanaimo,V9R 2K6,1,
Canada,British Columbia,New Westminster,V3M 0B1,1,
Canada,British Columbia,North Vancouver,v7g 1c2,2,
Canada,British Columbia,North Vancouver,V7N 3R4,1,
Canada,British Columbia,OSOYOOS,V0H 1V5,2,
Canada,British Columbia,Sooke,v9z1b4,1,
Canada,British Columbia,Squamish,V8B0T7,1,
Canada,British Columbia,Surrey,V3T 0B5,1,
Canada,British Columbia,Surrey,V4N2N9,1,
Canada,British Columbia,Surrey,V4P0E3,1,
Canada,British Columbia,Vancouver,V5X 2E1,1,
Canada,British Columbia,Vancouver,V6B0J1,3,
Canada,British Columbia,Vancouver,V6E0A7,1,
Canada,British Columbia,Vancouver,V6g 3h6,1,
Canada,British Columbia,Vancouver,v6p 4x6,1,
Canada,British Columbia,Vernon,V1T 0A8,2,
Canada,British Columbia,Victoria,V8R 3B9,2,
Canada,British Columbia,Victoria,V8T 2B2,1,
Canada,British Columbia,Victoria,V9C 4H8,1,
Canada,British Columbia,Victoria,V9C0A8,1,
Canada,Canada/Ontatio,Rainy River,P0W1L0,1,
Canada,Manitoba,Oakbank,R0E1J1,1,
Canada,Manitoba,Steinbach,R5G1Y2,1,
Canada,Manitoba,Winnipeg,R2J 2V8,4,
Canada,Manitoba,Winnipeg,R2R 1P5,1,
Canada,Manitoba,Winnipeg,R3K 1L1,1,
Canada,Manitoba,Winnipeg,R3L2S8,1,
Canada,MB,EAST ST PAUL,R2E1J6,1,
Canada,MB,Niverville,R0A 0A2,1,
Canada,MB,Selkirk,R1A 0C3,8,
Canada,MB,Winkler,R6W 1J4,1,
Canada,MB,Winnipeg,R2K 2B1,1,
Canada,MB,Winnipeg,R2X 2B9,1,
Canada,MB,Winnipeg,R3J 2K7,1,
Canada,MB,Winnipeg,R3T 1G2,1,
Canada,MB,Winnipeg,R3T 1T2,1,
Canada,MB - Manitoba,La Broquerie,R0A0W2,1,
Canada,NB,Moncton,E1G 5G4,1,
Canada,NB,Riverview,E1B1Y9,1,
Canada,NB,Rothesay,E2E 5G4,7,
Canada,NB,Saint John,E2K 5E2,2,
Canada,New Brunswick,hillsboroug,E4H3A2,1,
Canada,New Brunswick,St. Stephen,E3L 2B4,1,
Canada,Newfoundland,Labrador City,A2V 1G4,1,
Canada,NL,Mount Pearl,A1N 5C4,1,
Canada,NL,St. John's,A1A 5K9,2,
Canada,Nova Scotia,AYLESFORD,B0P1C0,1,
Canada,Nova Scotia,North Sydney,B2A 3K2,1,
Canada,Nova Scotia,Rockley,B0k1k0,1,
Canada,Novascotia,Dartmouth,B3A4G5,1,
Canada,NS,berwick,B0P1E0,1,
Canada,NS,Dartmouth,B2Y 3G5,1,
Canada,NS,Eastern Passage,B0J 3A0,1,
Canada,NS,Eastern Passage,B3G 0C5,1,
Canada,NS,South Brookfield,B0T 1X0,1,
Canada,NS,Wolfville,B4P 1W2,1,
Canada,ON,Aurora,L4G 0V6,1,
Canada,ON,Bainsville,K0C 1E0,3,
Canada,On,Barrie,L4N8P3,1,
Canada,ON,Brampton,L6S 4A3,1,
Canada,ON,Brantford,N3T 0S6,1,
Canada,ON,Brooklin,L1M 1E1,1,
Canada,ON,Burlington,L7L 6C9,1,
Canada,ON,Burlington,L7M 1N9,1,
Canada,ON,BURLINGTON,L7P3B1,1,
Canada,ON,Burlington,L7R 2S4,2,
Canada,ON,Callander,p0h1h0,1,
Canada,ON,Cambridge,N3C 4G1,1,
Canada,ON,Chatham,N7M 4C5,1,
Canada,ON,Collingwood,L9Y 5P4,1,
Canada,ON,Coutice,L1E0C6,4,
Canada,ON,Embrun,K0A 1W0,1,
Canada,ON,Etobicoke,M8V 0H9,1,
Canada,ON,Etobicoke,M8V 1V1,1,
Canada,ON,Fergus,N1M1M4,1,
Canada,ON,Freelton,L8B 0Z7,1,
Canada,ON,Georgetown,L7G 0E8,1,
Canada,ON,Goderich,N7A 1Y2,1,
Canada,ON,Gooderham,K0M 1S0,3,
Canada,ON,Grimsby,L3M 4E7,1,
Canada,ON,Grimsby,L3M3C9,1,
